"","dem_vote","marital_id","state_id"
"184",0,0,"alabama"
"185",1,0,"alabama"
"186",1,0,"alabama"
"187",0,0,"alabama"
"188",0,1,"alabama"
"189",0,0,"alabama"
"190",0,0,"alabama"
"191",1,1,"alabama"
"192",0,1,"alabama"
"193",1,0,"alabama"
"194",1,0,"alabama"
"195",1,0,"alabama"
"196",1,0,"alabama"
"197",0,1,"alabama"
"198",0,1,"alabama"
"199",0,1,"alabama"
"200",0,1,"alabama"
"201",0,1,"alabama"
"202",0,1,"alabama"
"203",1,0,"alabama"
"204",1,0,"alabama"
"205",0,1,"alabama"
"206",0,1,"alabama"
"207",1,0,"alabama"
"208",0,1,"alabama"
"209",0,1,"alabama"
"210",0,1,"alabama"
"211",1,0,"alabama"
"212",0,1,"alabama"
"213",0,1,"alabama"
"214",0,1,"alabama"
"215",1,0,"alabama"
"216",0,1,"alabama"
"217",0,1,"alabama"
"218",0,1,"alabama"
"219",1,0,"alabama"
"220",0,1,"alabama"
"221",0,1,"alabama"
"222",0,0,"alabama"
"223",0,1,"alabama"
"224",1,1,"alabama"
"225",1,0,"alabama"
"226",1,1,"alabama"
"227",1,1,"alabama"
"228",0,1,"alabama"
"229",0,0,"alabama"
"230",0,0,"alabama"
"231",0,1,"alabama"
"232",1,1,"alabama"
"233",0,1,"alabama"
"234",0,1,"alabama"
"235",1,1,"alabama"
"236",1,0,"alabama"
"237",0,1,"alabama"
"238",0,1,"alabama"
"239",0,1,"alabama"
"240",0,1,"alabama"
"241",1,1,"alabama"
"242",0,0,"alabama"
"243",0,1,"alabama"
"244",0,1,"alabama"
"245",0,0,"alabama"
"246",0,1,"alabama"
"247",1,1,"alabama"
"248",1,1,"alabama"
"249",0,0,"alabama"
"250",1,1,"alabama"
"251",0,1,"alabama"
"252",0,1,"alabama"
"253",1,1,"alabama"
"254",1,0,"alabama"
"255",1,0,"alabama"
"256",0,1,"alabama"
"257",0,0,"alabama"
"258",1,1,"alabama"
"259",1,1,"alabama"
"260",0,0,"alabama"
"261",0,1,"alabama"
"262",1,0,"alabama"
"263",0,0,"alabama"
"264",0,1,"alabama"
"265",1,1,"alabama"
"266",0,1,"alabama"
"267",1,1,"alabama"
"268",0,1,"alabama"
"269",0,1,"alabama"
"270",0,1,"alabama"
"271",0,1,"alabama"
"272",1,0,"alabama"
"273",0,1,"alabama"
"274",0,1,"alabama"
"275",0,1,"alabama"
"276",1,0,"alabama"
"277",0,1,"alabama"
"278",0,1,"alabama"
"279",0,1,"alabama"
"280",1,1,"alabama"
"281",0,1,"alabama"
"282",0,1,"alabama"
"283",0,1,"alabama"
"284",1,1,"alabama"
"285",0,0,"alabama"
"286",0,1,"alabama"
"287",0,1,"alabama"
"288",0,1,"alabama"
"289",0,0,"alabama"
"290",1,0,"alabama"
"291",1,0,"alabama"
"292",1,1,"alabama"
"293",0,1,"alabama"
"294",0,1,"alabama"
"295",0,0,"alabama"
"296",0,0,"alabama"
"297",0,1,"alabama"
"298",0,0,"alabama"
"299",1,0,"alabama"
"300",0,0,"alabama"
"301",0,1,"alabama"
"302",1,0,"alabama"
"303",1,0,"alabama"
"304",0,1,"alabama"
"305",1,1,"alabama"
"306",0,0,"alabama"
"307",1,1,"alabama"
"308",0,0,"alabama"
"309",1,0,"alabama"
"310",0,1,"alabama"
"311",0,1,"alabama"
"312",1,1,"alabama"
"313",1,0,"alabama"
"314",0,1,"alabama"
"315",1,1,"alabama"
"316",1,0,"alabama"
"317",0,1,"alabama"
"318",0,1,"alabama"
"319",1,0,"alabama"
"320",0,0,"alabama"
"321",1,0,"alabama"
"322",0,1,"alabama"
"323",0,1,"alabama"
"324",0,1,"alabama"
"325",0,1,"alabama"
"326",0,1,"alabama"
"327",0,0,"alabama"
"328",1,1,"alabama"
"329",0,1,"alabama"
"330",1,1,"alabama"
"331",0,0,"alabama"
"332",0,1,"alabama"
"333",0,1,"alabama"
"334",0,0,"alabama"
"335",1,0,"alabama"
"336",0,1,"alabama"
"337",1,1,"alabama"
"338",0,0,"alabama"
"339",0,1,"alabama"
"340",0,0,"alabama"
"341",0,1,"alabama"
"342",1,0,"alabama"
"343",0,1,"alabama"
"344",0,1,"alabama"
"345",0,1,"alabama"
"346",1,0,"alabama"
"347",1,1,"alabama"
"348",1,0,"alabama"
"349",0,0,"alabama"
"350",0,0,"alabama"
"351",0,1,"alabama"
"352",0,1,"alabama"
"353",0,1,"alabama"
"354",0,1,"alabama"
"355",0,1,"alabama"
"356",0,0,"alabama"
"357",0,0,"alabama"
"358",0,1,"alabama"
"359",1,0,"alabama"
"360",0,1,"alabama"
"361",1,0,"alabama"
"362",0,0,"alabama"
"363",0,0,"alabama"
"364",1,1,"alabama"
"365",0,0,"alabama"
"366",0,0,"alabama"
"367",0,0,"alabama"
"368",1,1,"alabama"
"369",1,0,"alabama"
"370",0,1,"alabama"
"371",0,1,"alabama"
"372",1,0,"alabama"
"373",0,0,"alabama"
"374",0,0,"alabama"
"375",1,1,"alabama"
"376",0,0,"alabama"
"377",0,1,"alabama"
"378",1,0,"alabama"
"379",0,1,"alabama"
"380",0,1,"alabama"
"381",0,0,"alabama"
"382",0,0,"alabama"
"383",0,0,"alabama"
"384",1,0,"alabama"
"385",1,0,"alabama"
"386",1,0,"alabama"
"387",0,1,"alabama"
"388",0,0,"alabama"
"389",0,1,"alabama"
"390",1,0,"alabama"
"391",1,0,"alabama"
"392",1,0,"alabama"
"393",0,0,"alabama"
"394",1,0,"alabama"
"395",1,1,"alabama"
"396",1,0,"alabama"
"397",0,1,"alabama"
"398",1,1,"alabama"
"399",0,0,"alabama"
"400",0,0,"alabama"
"401",1,1,"alabama"
"402",0,1,"alabama"
"403",0,1,"alabama"
"404",0,0,"alabama"
"405",0,1,"alabama"
"406",1,0,"alabama"
"407",1,0,"alabama"
"408",0,1,"alabama"
"409",0,1,"alabama"
"410",0,0,"alabama"
"411",0,1,"alabama"
"412",0,1,"alabama"
"413",0,0,"alabama"
"414",0,1,"alabama"
"415",0,1,"alabama"
"416",0,1,"alabama"
"417",0,0,"alabama"
"418",1,1,"alabama"
"419",1,1,"alabama"
"420",0,1,"alabama"
"421",0,1,"alabama"
"422",0,1,"alabama"
"423",1,0,"alabama"
"424",0,0,"alabama"
"425",0,1,"alabama"
"426",0,0,"alabama"
"427",0,1,"alabama"
"428",0,0,"alabama"
"429",0,1,"alabama"
"430",1,1,"alabama"
"431",0,0,"alabama"
"432",1,1,"alabama"
"433",0,1,"alabama"
"434",0,0,"alabama"
"435",1,0,"alabama"
"436",1,0,"alabama"
"437",1,1,"alabama"
"438",0,1,"alabama"
"439",1,1,"alabama"
"440",1,1,"alabama"
"441",0,1,"alabama"
"442",0,0,"alabama"
"443",1,0,"alabama"
"444",1,0,"alabama"
"445",0,1,"alabama"
"446",1,1,"alabama"
"447",1,1,"alabama"
"448",0,1,"alabama"
"449",0,1,"alabama"
"450",0,1,"alabama"
"451",0,1,"arizona"
"452",0,1,"arizona"
"453",1,1,"arizona"
"454",1,0,"arizona"
"455",1,0,"arizona"
"456",1,0,"arizona"
"457",0,0,"arizona"
"458",1,0,"arizona"
"459",0,1,"arizona"
