Day,State ID,State,Lat,Long_,Active,Incident_Rate,Total_Test_Results,Case_Fatality_Ratio,Testing_Rate,Resident Population 2020 Census,Population Density 2020 Census,Density Rank 2020 Census,SexRatio,Confirmed,Deaths,Recovered
2,1,Alabama,-1.1782429756929964,0.3044759470912131,-0.20064108142109938,0.14397608454314628,-0.4833925665605053,-0.47522967200758864,-1.3017446337081593,-0.12857922717029188,-0.21701258382787988,0.11874519052448941,-1.1682553368383621,True,False,False
2,2,Alaska,3.6076110360618836,-3.031933254618009,-0.44896653588835533,-0.2902094456082534,-0.5693713776246776,-1.7979485589851687,2.0711538097182083,-0.7541735854660159,-0.27675233088216583,1.6143691378448448,3.491260168470713,True,True,False
2,3,Arizona,-0.9457083737484757,-0.9449259448756909,0.38904335098244863,0.08851057968622296,-0.007491360560195293,0.07571336127087509,-1.2689524617770975,0.18156140284310043,-0.23916327655587358,0.5089079593906691,0.3849164982646629,True,True,True
2,4,Arkansas,-0.7414581237123375,0.025815759697056313,-0.4823586457512819,0.2021783491837483,-0.45645691871106964,-0.029941254033968558,-0.5591528670952397,-0.4220308792832135,-0.2422143361602804,0.5739350875350323,-0.546986602797152,True,True,True
2,5,California,-0.5525937704044656,-1.3651675932775247,4.275448230709922,-0.5024169905666647,4.022088566247373,-0.7910623688084951,-0.1775431751915879,4.903416166075711,-0.12273484205170847,-0.921688859785323,0.3849164982646629,True,True,False
2,6,Colorado,-0.06769092662160071,-0.6331930698170191,0.11192078842388463,-0.569840937860503,-0.11390290300463057,-0.27802712275172053,-0.3441074458257441,-0.01931459292457028,-0.2435568023862194,0.7690164719681222,1.0061852323058729,True,True,True
2,7,Connecticut,0.3503969309408765,1.0250612006275148,-0.17668520858872863,-0.8115585688200709,-0.12697395819987553,2.4007896785378895,0.7631834802444466,-0.3353668138361209,0.17687921110104346,-1.376878756795866,-0.857620969817757,True,True,False
2,8,Delaware,-0.025074957846418708,0.8849008515647633,-0.45167103427386507,-0.5020648694556042,-0.6121421598680112,-0.07794070292194338,0.2457147262074933,-0.7167685980178988,0.032442049428423526,-1.2468245005071394,-1.1682553368383621,True,True,False
2,9,District of Columbia,-0.09444327810629283,0.8074935460915417,-0.5155228370143762,-1.3110318543447292,-0.6235760792025689,1.6030440378503998,0.9147014453464042,-0.7605661574077293,6.605644861162524,-1.7020143975176825,-0.546986602797152,True,True,True
2,10,Florida,-1.9280830540376146,0.5701321961506237,2.181299575651017,-0.38833074840301146,1.5275243247304338,-0.07276360464872712,-0.42823243782281895,2.2790827015993758,-0.03260654133753036,-1.1167702442184129,-0.546986602797152,True,True,False
2,11,Georgia,-1.0592411363300593,0.47048627149624245,0.8406884764000806,-0.32554272719514865,0.023727644586112987,-0.047428767603555334,-0.9925812099826443,0.7006543987083492,-0.16429027386372963,-0.5315260909191434,-0.857620969817757,True,True,False
2,12,Hawaii,-3.0271698096155704,-3.291395696777674,-0.5110071997551993,-2.445351456128335,-0.6362447874490008,-0.4992383634353364,-0.8235873865531768,-0.6489263603306786,-0.13927158510759355,-0.7916346034965964,1.0061852323058729,True,False,False
2,13,Idaho,0.7857321481120187,-1.100158230300571,-0.36414622196327506,0.32708204534236013,-0.6759102178950792,-0.9325179693288397,-1.4988224374222259,-0.592964748068499,-0.2639378805436571,1.224206368978665,1.0061852323058729,True,True,False
2,15,Indiana,0.06238085128672571,0.3372786744221034,-0.19081209180333258,0.24587860169074569,0.07125478852010689,-0.03519141579473711,-0.14848390222015567,0.12820385315107413,-0.16197146856438047,-0.5965532190635067,-0.23635223577654707,True,True,True
2,17,Kansas,-0.15552561757995906,-0.19592863962328533,-0.07776650127402346,0.30471443947492,-0.6091116134224195,-0.5843697944687516,-1.3952845669370761,-0.4327678807902047,-0.2556389984196705,1.0291249845455752,0.3849164982646629,True,True,False
2,18,Kentucky,-0.29694737712187663,0.41817508986763247,-0.055037725903249686,-0.4646013529331469,-0.29468626934787223,-0.9835324468170026,-0.4869466673332765,-0.20416614901442068,-0.20792042620674747,-0.1413633220529637,-0.23635223577654707,True,True,True
2,19,Louisiana,-1.3674697377032474,0.05155367603292402,-0.4415306915688274,-0.18278606494034233,-0.1511718446034422,1.1328767055473459,-0.0272199266148267,-0.1820166730768887,-0.2117647613083001,0.053718062380126136,-0.546986602797152,False,False,False
2,20,Maine,0.8604212870477272,1.1968934997746572,-0.5038542186979632,-2.310231210059797,-0.5948154954413291,-0.3238936290605293,-0.2203767331996436,-0.6624725593966929,-0.25057423947635515,0.8340436001124855,-0.546986602797152,True,True,True
2,21,Maryland,-0.06701552858535026,0.8189388455189502,0.013807936158586418,-1.0929755166823774,0.07674618788227439,0.7251159206568045,0.10523804522017471,0.03951555587351245,0.11061019649332683,-1.3118516286515027,-1.1682553368383621,True,True,True
2,22,Massachusetts,0.45457295975195317,1.0874729736066144,-0.3073598958175644,-0.7068453022390335,0.8260050289877106,2.471151504687246,1.676510932003492,0.1638347947252969,0.2723773767189776,-1.4419058849402293,-1.1682553368383621,True,True,False
2,23,Michigan,0.6351842785192892,0.42500050207623397,-0.20317464085673492,-0.7873671619901013,0.40785055081499144,1.281464359218802,-0.25528769229386206,0.6081356028077743,-0.16892788446242804,-0.4664989627747801,-0.23635223577654707,True,True,True
2,24,Minnesota,1.0252513541387496,-0.05196847152499865,-0.5023320480490834,0.08922215371570123,0.016711674968916096,-0.5021543677941862,0.09236279471246617,-0.02911500085053772,-0.2337934116521175,0.31382657495757926,0.3849164982646629,True,True,True
